Воин_ИД,Название,Длительность
73528,Dissendium,3
73529,Wand-Lighting Charm,1
73529,Wand-Extinguishing Charm,1
73529,Impediment Jinx,3
73558,Levitation Charm,4
73565,Freezing Charm,1
73565,Spider repelling spell,3
73570,Oppugno Jinx,5
73570,Wand-Lighting Charm,3
73570,Salvio hexia,3
73578,Expulso Curse,1
73578,Muffliato Charm,2
73588,Locking Spell,5
73588,Revelio Charm,3
73613,Piertotum Locomotor,0
73635,Vera Verto,5
73635,Protego totalum,5
73638,Brackium Emendo,1
73638,Locking Spell,4
73644,Levitation Charm,4
73644,Muffliato Charm,5
73649,Exploding Charm,4
73649,Engorgement Charm,3
73649,Oculus Reparo,1
73651,Tickling Charm,5
73651,Imperius Curse,4
73651,Leg-Locker Curse,1
73654,Reverse Spell,5
73654,Incarcerous Spell,2
73669,Portus,1
73692,Sectumsempra,1
73692,Oculus Reparo,5
73713,Lumos Solem Spell,1
73714,Human Presence Revealing Spell,0
73719,Levitation Charm,2
73758,Levicorpus,0
73758,Boggart-Banishing Spell,4
73811,Engorgement Charm,0
73811,Spider repelling spell,1
73811,Lumos Solem Spell,1
73821,Levicorpus,1
73821,Spider repelling spell,2
73832,Patronus Charm,2
73832,Tickling Charm,5
73832,Sectumsempra,3
73855,Tickling Charm,2
73855,Episkey,4
73862,Snake Summons Spell,0
73865,Full Body-Bind Curse,1
73865,Salvio hexia,0
73877,Killing Curse,4
73877,Oppugno Jinx,0
73877,Protego Maxima,4
73879,Wand-Extinguishing Charm,5
73879,Memory Charm,1
73919,Lumos Maxima,5
73919,Severing Charm,2
73919,Muffliato Charm,4
73927,Shield Charm,1
73927,Protego totalum,5
73932,Reverse Spell,5
73933,Snake-Vanishing Spell,0
73933,Portus,3
73933,Unlocking Charm,2
73951,Muffliato Charm,1
73951,Levitation Charm,4
73955,Disarming Charm,2
73955,Sectumsempra,3
73955,Fire-Making Spell,2
73960,Piertotum Locomotor,0
73960,Impediment Jinx,0
73960,Salvio hexia,1
74000,Severing Charm,2
74000,Memory Charm,0
74010,Full Body-Bind Curse,5
74010,Leg-Locker Curse,1
74022,Levitation Charm,2
74037,Piertotum Locomotor,1
74037,Locomotion Charm,3
74037,Cistem Aperio,2
74042,Engorgement Charm,1
74042,Levicorpus,1
74042,Vera Verto,1
74046,Severing Charm,5
74046,Portus,4
74062,Exploding Charm,0
74062,Protego Maxima,5
74084,Killing Curse,0
74084,Disarming Charm,3
74084,Wand-Extinguishing Charm,5
74087,Slowing Charm,0
74089,Salvio hexia,4
74089,Cruciatus Curse,0
74089,Snake Summons Spell,5
74096,Wand-Extinguishing Charm,1
74096,Snake Summons Spell,5
74096,Piertotum Locomotor,0
74098,Severing Charm,3
74098,Dissendium,3
74098,Revelio Charm,1
74114,General Counter-Spell,1
74117,Patronus Charm,0
74117,Snake Summons Spell,2
74127,Revulsion Jinx,1
74133,Fire-Making Spell,3
74133,Episkey,4
74141,Expulso Curse,2
74141,Summoning Charm,4
74167,Cistem Aperio,5
74167,Fire-Making Spell,3
74172,Water-Making Spell,4
74186,Spider repelling spell,1
74186,Levitation Charm,0
74186,Expulso Curse,2
74191,Launch an object up into the air,5
74191,Expulso Curse,2
74219,Reverse Spell,5
74219,Lumos Maxima,3
74219,Leg-Locker Curse,4
74247,Engorgement Charm,0
74248,Protego Maxima,3
74270,Expulso Curse,2
74275,Launch an object up into the air,4
74287,General Counter-Spell,0
74287,Cistem Aperio,3
74287,Freezing Charm,4
74316,Episkey,0
74328,Patronus Charm,4
74328,Incarcerous Spell,1
74350,Protego Maxima,0
74367,Wand-Lighting Charm,3
74367,Killing Curse,0
74367,General Counter-Spell,1
74408,Engorgement Charm,4
74408,Oculus Reparo,0
74408,Spider repelling spell,5
74433,Snake Summons Spell,0
74450,Vera Verto,2
74450,Stunning Spell,0
74450,Levitation Charm,0
74460,Launch an object up into the air,5
74460,Brackium Emendo,0
74460,Freezing Charm,4
74514,Brackium Emendo,0
74525,Shield Charm,4
74525,Blasting Curse,5
74525,Incarcerous Spell,0
74528,Levicorpus,5
74528,Levitation Charm,0
74529,Revulsion Jinx,4
74529,Impediment Jinx,0
74529,Brackium Emendo,1
74536,Human Presence Revealing Spell,2
74536,Peskipiksi Pesternomi,4
74575,Levitation Charm,3
74578,Blasting Curse,4
74578,Sectumsempra,4
74582,Muffliato Charm,5
74591,Piertotum Locomotor,4
74591,Snake Summons Spell,0
74630,Reverse Spell,3
74630,Muggle-Repelling Charm,5
74630,Cruciatus Curse,2
74641,Expulso Curse,4
74647,Brackium Emendo,2
74647,Shrinking Charm,5
74699,Blasting Curse,5
74699,Revelio Charm,5
74718,Boggart-Banishing Spell,4
74729,Expulso Curse,3
74729,Memory Charm,5
74746,Muggle-Repelling Charm,5
74756,Levicorpus,2
74756,Protego totalum,3
74756,Oppugno Jinx,4
74763,Locomotion Charm,2
74763,Leg-Locker Curse,1
74763,Exploding Charm,5
74776,Oculus Reparo,4
74776,Tickling Charm,3
74776,Peskipiksi Pesternomi,1
74777,General Counter-Spell,3
74777,Oppugno Jinx,1
74777,Salvio hexia,0
74780,Imperius Curse,0
74780,Mending Charm,4
74784,Revelio Charm,4
74784,Peskipiksi Pesternomi,3
74784,Memory Charm,1
74790,Spider repelling spell,0
74790,Disarming Charm,4
74790,Severing Charm,2
74810,Slowing Charm,0
74810,Summoning Charm,5
74810,Unlocking Charm,5
74835,Freezing Charm,4
74835,Sectumsempra,3
74844,Slowing Charm,5
74844,Locking Spell,3
74872,Impediment Jinx,1
74872,Lumos Solem Spell,1
74872,Shield Charm,0
74902,Slowing Charm,3
74902,Muffliato Charm,1
74902,Repello Inimicum,5
74923,Patronus Charm,5
74962,Spider repelling spell,3
74962,Oculus Reparo,1
74963,General Counter-Spell,2
74963,Revulsion Jinx,2
74963,Summoning Charm,2
74973,Memory Charm,5
74973,Vera Verto,2
74989,Oculus Reparo,3
74999,Severing Charm,5
74999,Locking Spell,4
75005,Muggle-Repelling Charm,1
75005,Summoning Charm,3
75005,Unlocking Charm,5
75015,Shrinking Charm,3
75015,Portus,5
75015,Dissendium,2
75023,Salvio hexia,0
75031,Slowing Charm,0
75031,Peskipiksi Pesternomi,4
75046,Reverse Spell,4
75046,Summoning Charm,4
75055,Impediment Jinx,2
75055,Episkey,1
75055,Reverse Spell,2
75066,Tickling Charm,0
75066,General Counter-Spell,3
75100,Stunning Spell,2
75102,Blasting Curse,4
75102,Snake Summons Spell,5
75102,Protego Maxima,5
75104,Lumos Maxima,5
75104,Locking Spell,5
75111,Impediment Jinx,4
75145,Killing Curse,5
75145,Levitation Charm,1
75163,Locomotion Charm,0
75163,Exploding Charm,4
75163,Wand-Lighting Charm,1
75170,Disarming Charm,4
75171,Boggart-Banishing Spell,5
75177,Blasting Curse,5
75195,Unlocking Charm,3
75195,Launch an object up into the air,2
75195,Tickling Charm,3
75196,Incarcerous Spell,5
75196,Impediment Jinx,2
75196,Water-Making Spell,0
75201,Wand-Lighting Charm,2
75201,Protego Maxima,3
75201,Memory Charm,5
75203,Revelio Charm,3
75203,Levitation Charm,0
75203,Salvio hexia,4
75209,Incarcerous Spell,2
75209,Oppugno Jinx,3
75217,Fire-Making Spell,2
75228,Lumos Solem Spell,0
75240,Blasting Curse,2
75240,Full Body-Bind Curse,4
75243,Human Presence Revealing Spell,4
75243,Muffliato Charm,0
75254,Blasting Curse,1
75254,Muggle-Repelling Charm,4
75267,Tickling Charm,3
75267,Severing Charm,1
75271,Unlocking Charm,5
75271,Leg-Locker Curse,0
75271,Peskipiksi Pesternomi,3
75275,Brackium Emendo,1
75275,Killing Curse,3
75289,Wand-Extinguishing Charm,0
75289,Severing Charm,3
75290,Exploding Charm,4
75290,Muffliato Charm,1
75290,Repello Inimicum,4
75310,Spider repelling spell,3
75310,Muggle-Repelling Charm,4
75327,Wand-Extinguishing Charm,5
75327,Leg-Locker Curse,4
75327,Portus,1
75337,Portus,4
75340,Water-Making Spell,0
75340,Lumos Maxima,0
75340,Oppugno Jinx,0
75362,Boggart-Banishing Spell,1
75362,Locomotion Charm,4
75371,Protego totalum,5
75372,Cruciatus Curse,0
75397,Episkey,4
75431,Reverse Spell,3
75435,Lumos Maxima,4
75466,General Counter-Spell,3
75466,Dissendium,3
75466,Killing Curse,3
75470,Levitation Charm,2
75486,Stunning Spell,4
75523,Snake-Vanishing Spell,5
75529,Memory Charm,0
75529,Brackium Emendo,1
75529,Wand-Extinguishing Charm,5
75535,Blasting Curse,2
75535,Levitation Charm,0
75535,Exploding Charm,5
75551,Reverse Spell,5
75551,Snake Summons Spell,4
75562,Snake-Vanishing Spell,3
75562,Fire-Making Spell,0
75587,Snake Summons Spell,1
75587,Salvio hexia,0
75609,Cruciatus Curse,3
75620,Lumos Solem Spell,4
75641,Disarming Charm,4
75650,Exploding Charm,2
75650,Spider repelling spell,0
75650,Fire-Making Spell,2
75652,Snake-Vanishing Spell,0
75652,Engorgement Charm,2
75702,Protego Maxima,2
75711,Spider repelling spell,5
75730,General Counter-Spell,2
75730,Piertotum Locomotor,2
75730,Slowing Charm,0
75752,General Counter-Spell,3
75752,Unlocking Charm,3
75752,Blasting Curse,1
75753,Severing Charm,0
75753,Cistem Aperio,0
75753,Sectumsempra,0
75763,Summoning Charm,4
75778,Fire-Making Spell,4
75778,Summoning Charm,4
75779,General Counter-Spell,3
75798,Oppugno Jinx,2
75800,Peskipiksi Pesternomi,4
75800,General Counter-Spell,2
75801,Wand-Extinguishing Charm,4
75813,Fire-Making Spell,1
75862,Portus,5
75862,Cistem Aperio,0
75879,Dissendium,5
75879,Severing Charm,1
75881,Leg-Locker Curse,3
75881,General Counter-Spell,3
75899,Impediment Jinx,1
75899,Salvio hexia,0
75899,Episkey,1
75914,Cruciatus Curse,2
75923,Water-Making Spell,4
75930,Fire-Making Spell,0
75946,Leg-Locker Curse,4
75946,Unlocking Charm,5
75954,Disarming Charm,4
75957,Shield Charm,4
75970,Slowing Charm,2
75970,Revelio Charm,2
76000,Revelio Charm,5
76011,Revelio Charm,1
76029,Killing Curse,4
76051,General Counter-Spell,4
76051,Protego totalum,2
76058,Wand-Extinguishing Charm,2
76058,Levicorpus,1
76084,Boggart-Banishing Spell,3
76084,Oculus Reparo,5
76135,Protego Maxima,2
76135,Incarcerous Spell,0
76179,Protego totalum,0
76188,Brackium Emendo,1
76188,Peskipiksi Pesternomi,1
76195,Wand-Lighting Charm,5
76195,Shield Charm,2
76195,Brackium Emendo,0
76206,General Counter-Spell,5
76206,Locking Spell,2
76206,Portus,0
76212,Impediment Jinx,4
76212,Locomotion Charm,4
76214,Snake-Vanishing Spell,5
76214,Launch an object up into the air,0
76220,Cistem Aperio,3
76220,Shrinking Charm,4
76228,Wand-Extinguishing Charm,0
76228,Severing Charm,1
76242,Freezing Charm,4
76259,Human Presence Revealing Spell,1
76296,Oculus Reparo,5
76296,Protego Maxima,0
76311,Muggle-Repelling Charm,5
76311,Disarming Charm,1
76317,Revulsion Jinx,2
76317,Wand-Extinguishing Charm,2
76338,Disarming Charm,0
76338,Fire-Making Spell,3
76338,Boggart-Banishing Spell,0
76345,Levitation Charm,4
76345,Severing Charm,0
76345,Locomotion Charm,2
76363,Lumos Maxima,5
76363,Fire-Making Spell,1
76363,Levicorpus,1
76397,Muggle-Repelling Charm,1
76397,Dissendium,1
76397,Lumos Maxima,4
76407,Brackium Emendo,5
76439,Exploding Charm,2
76439,Expulso Curse,4
76439,Tickling Charm,4
76447,Launch an object up into the air,5
76447,Spider repelling spell,2
76447,Human Presence Revealing Spell,4
76468,Slowing Charm,4
76468,Severing Charm,2
76497,Piertotum Locomotor,2
76497,Wand-Extinguishing Charm,1
76497,Snake Summons Spell,2
76499,Peskipiksi Pesternomi,5
76511,Cruciatus Curse,1
76518,Leg-Locker Curse,5
76551,Exploding Charm,1
76555,Shrinking Charm,5
76555,Memory Charm,2
76555,Vera Verto,0
76568,Cruciatus Curse,2
76582,Salvio hexia,5
76584,Water-Making Spell,3
76584,Portus,1
76584,Snake-Vanishing Spell,2
76612,Cistem Aperio,2
76618,Human Presence Revealing Spell,3
76621,Spider repelling spell,3
76621,Cruciatus Curse,1
76621,Snake-Vanishing Spell,4
76640,Sectumsempra,2
76645,Boggart-Banishing Spell,1
76645,Oculus Reparo,0
76645,Snake-Vanishing Spell,0
76665,Full Body-Bind Curse,5
76677,Stunning Spell,4
76688,Cistem Aperio,5
76688,Salvio hexia,0
76693,Full Body-Bind Curse,0
76693,Reverse Spell,2
76693,Salvio hexia,4
76712,Oppugno Jinx,4
76712,Wand-Lighting Charm,0
76712,Reverse Spell,1
76739,Locking Spell,3
76739,Levitation Charm,2
76739,Leg-Locker Curse,0
76741,Spider repelling spell,3
76742,Levicorpus,3
76742,Shield Charm,2
76750,Muggle-Repelling Charm,4
76750,Exploding Charm,1
76753,Muggle-Repelling Charm,1
76753,Water-Making Spell,3
76753,Muffliato Charm,4
76768,Launch an object up into the air,0
76768,Dissendium,2
76784,Lumos Maxima,1
76784,Reverse Spell,3
76784,Summoning Charm,3
76794,Muffliato Charm,4
76794,Incarcerous Spell,1
76815,Stunning Spell,2
76821,Lumos Maxima,5
76821,Engorgement Charm,1
76826,Snake-Vanishing Spell,1
76826,Killing Curse,4
76826,Fire-Making Spell,1
76842,Snake-Vanishing Spell,1
76844,Muggle-Repelling Charm,4
76844,Imperius Curse,0
76844,Fire-Making Spell,4
76869,Memory Charm,0
76869,Cruciatus Curse,0
76869,Portus,1
76876,Repello Inimicum,3
76912,Mending Charm,5
76912,Lumos Maxima,0
76925,Sectumsempra,5
76925,Lumos Solem Spell,3
76929,Killing Curse,3
76929,Memory Charm,5
76962,Vera Verto,3
76994,Snake Summons Spell,3
76997,Leg-Locker Curse,2
77013,Exploding Charm,0
77016,Slowing Charm,4
77016,Summoning Charm,5
77016,Disarming Charm,1
77019,Repello Inimicum,2
77019,Levitation Charm,2
77063,Oculus Reparo,3
77075,Locking Spell,0
77083,Blasting Curse,1
77083,Freezing Charm,2
77098,Piertotum Locomotor,3
77109,Severing Charm,5
77120,Killing Curse,5
77137,Blasting Curse,4
77137,Imperius Curse,0
77145,Muggle-Repelling Charm,4
77163,Water-Making Spell,4
77163,Episkey,4
77219,Expulso Curse,0
77219,Protego totalum,0
77219,Episkey,4
77232,Lumos Maxima,3
77249,Mending Charm,1
77249,Brackium Emendo,2
77268,Stunning Spell,4
77271,Shrinking Charm,5
77271,Muggle-Repelling Charm,2
77271,Reverse Spell,5
77302,Sectumsempra,1
77302,Shrinking Charm,3
77311,Shrinking Charm,1
77311,Unlocking Charm,0
77339,Leg-Locker Curse,5
77339,Killing Curse,4
77339,Revelio Charm,4
77359,Oculus Reparo,0
77365,Sectumsempra,2
77391,Repello Inimicum,3
77396,Oppugno Jinx,0
77401,Muggle-Repelling Charm,0
77429,Severing Charm,2
77429,Shrinking Charm,4
77429,Repello Inimicum,4
77435,Unlocking Charm,0
77448,Repello Inimicum,1
77448,Locomotion Charm,2
77448,Revulsion Jinx,4
77457,Locomotion Charm,2
77457,Tickling Charm,0
77457,General Counter-Spell,4
77459,Slowing Charm,1
77459,Sectumsempra,0
77530,Peskipiksi Pesternomi,4
77560,Protego Maxima,2
77560,Shield Charm,2
77560,Wand-Extinguishing Charm,3
77590,Snake-Vanishing Spell,5
77608,General Counter-Spell,3
77608,Lumos Maxima,1
77608,Reverse Spell,0
77609,Protego totalum,4
77609,Protego Maxima,3
77641,Unlocking Charm,5
77641,Reverse Spell,3
77646,Blasting Curse,1
77646,Vera Verto,2
77675,Boggart-Banishing Spell,5
77675,Fire-Making Spell,3
77706,Peskipiksi Pesternomi,4
77706,General Counter-Spell,1
77709,Unlocking Charm,0
77709,Oppugno Jinx,5
77730,Peskipiksi Pesternomi,1
77730,Severing Charm,3
77747,Vera Verto,5
77747,Wand-Extinguishing Charm,4
77749,Sectumsempra,0
77749,Unlocking Charm,1
77763,Levitation Charm,3
77763,Brackium Emendo,0
77763,Launch an object up into the air,0
77770,Muggle-Repelling Charm,2
77770,Revelio Charm,5
77791,Freezing Charm,1
77791,Disarming Charm,4
77799,Portus,5
77799,Salvio hexia,1
77799,Episkey,3
77818,Engorgement Charm,5
77818,Disarming Charm,3
77819,Human Presence Revealing Spell,1
77819,Blasting Curse,1
77828,Portus,3
77828,Revulsion Jinx,2
77828,Brackium Emendo,5
77851,Muffliato Charm,4
77851,Water-Making Spell,2
77851,Wand-Lighting Charm,1
77861,Locomotion Charm,0
77861,Levitation Charm,5
77900,Slowing Charm,4
77900,Boggart-Banishing Spell,2
77904,Stunning Spell,0
77907,Salvio hexia,5
77907,Revelio Charm,0
77907,Unlocking Charm,3
77915,Muffliato Charm,0
77915,Reverse Spell,4
77915,Locking Spell,5
77926,Sectumsempra,5
77926,Brackium Emendo,2
77965,Protego Maxima,4
77968,Protego Maxima,2
77968,Muggle-Repelling Charm,5
77980,Spider repelling spell,3
77980,Reverse Spell,4
77980,Muggle-Repelling Charm,3
77982,Water-Making Spell,1
77982,Shield Charm,1
77989,Oppugno Jinx,3
78010,Disarming Charm,0
78010,Full Body-Bind Curse,4
78010,Brackium Emendo,3
78014,Muggle-Repelling Charm,5
78039,Protego totalum,4
78041,Brackium Emendo,2
78059,Levicorpus,3
78059,Shield Charm,5
78059,Levitation Charm,1
78083,Severing Charm,3
78083,Snake-Vanishing Spell,1
78083,Shrinking Charm,3
78098,Locomotion Charm,0
78111,Summoning Charm,5
78127,Revelio Charm,3
78145,Engorgement Charm,5
78145,Imperius Curse,2
78145,Snake Summons Spell,2
78168,Oculus Reparo,5
78168,Revulsion Jinx,5
78176,Water-Making Spell,5
78177,Wand-Extinguishing Charm,5
78177,Unlocking Charm,0
78189,Revulsion Jinx,4
78189,Shrinking Charm,2
78189,Slowing Charm,0
78194,Leg-Locker Curse,4
78200,Wand-Extinguishing Charm,5
78200,Mending Charm,3
78200,Incarcerous Spell,2
78233,Shield Charm,5
78234,Revulsion Jinx,4
78237,Stunning Spell,3
78237,Portus,5
78238,Tickling Charm,0
78271,Brackium Emendo,4
78271,Lumos Maxima,5
78271,Shrinking Charm,5
78272,Exploding Charm,5
78294,Lumos Solem Spell,5
78294,Lumos Maxima,5
78294,Exploding Charm,0
78309,Imperius Curse,1
78309,Cruciatus Curse,5
78328,Severing Charm,0
78328,Cistem Aperio,2
78328,Protego Maxima,0
78329,Spider repelling spell,0
78340,Episkey,5
78340,Sectumsempra,3
78340,Lumos Maxima,5
78381,Cistem Aperio,1
78381,Wand-Extinguishing Charm,3
78381,Revelio Charm,0
78394,Cistem Aperio,2
78400,Full Body-Bind Curse,2
78400,Reverse Spell,5
78400,Repello Inimicum,2
78419,Snake-Vanishing Spell,0
78436,Exploding Charm,0
78436,Sectumsempra,1
78436,Protego Maxima,4
78454,Reverse Spell,4
78454,Locomotion Charm,2
78469,Revulsion Jinx,2
78469,Imperius Curse,2
78469,Snake-Vanishing Spell,4
78502,Stunning Spell,5
78514,Exploding Charm,4
78520,Severing Charm,1
78520,Exploding Charm,4
78520,Episkey,5
78526,Patronus Charm,3
78526,Engorgement Charm,3
78526,Cistem Aperio,3
78531,Slowing Charm,1
78531,Boggart-Banishing Spell,2
78538,Exploding Charm,4
78544,Fire-Making Spell,0
78544,Levitation Charm,5
78545,Spider repelling spell,2
78545,Locomotion Charm,2
78545,Blasting Curse,5
78554,Water-Making Spell,1
78554,Launch an object up into the air,4
78556,Vera Verto,1
78556,Revelio Charm,2
78556,Engorgement Charm,0
78566,Expulso Curse,4
78582,Slowing Charm,0
78582,Snake-Vanishing Spell,5
78582,Imperius Curse,0
78588,Shrinking Charm,4
78588,Fire-Making Spell,5
78600,Protego Maxima,0
78600,Levicorpus,1
78611,Brackium Emendo,1
78615,Expulso Curse,1
78628,Spider repelling spell,2
78628,Salvio hexia,3
78628,Severing Charm,3
78629,Water-Making Spell,3
78636,Oppugno Jinx,2
78636,Lumos Solem Spell,1
78636,Engorgement Charm,1
78662,Spider repelling spell,3
78668,Exploding Charm,3
78668,Levicorpus,0
78670,Muggle-Repelling Charm,1
78670,Expulso Curse,5
78670,Cistem Aperio,0
78708,Locomotion Charm,0
78708,Boggart-Banishing Spell,5
78716,Levitation Charm,0
78716,Full Body-Bind Curse,3
78716,Killing Curse,0
78722,Human Presence Revealing Spell,0
78722,Exploding Charm,0
78722,Engorgement Charm,3
78747,Memory Charm,0
78766,Vera Verto,3
78766,Patronus Charm,3
78766,Cistem Aperio,4
78770,Snake-Vanishing Spell,3
78814,Portus,2
78814,Expulso Curse,4
78817,Blasting Curse,2
78817,General Counter-Spell,2
78817,Oppugno Jinx,2
78826,Tickling Charm,3
78826,Killing Curse,2
78881,Severing Charm,4
78881,Blasting Curse,0
78881,Brackium Emendo,5
78883,Shield Charm,2
78898,Muffliato Charm,2
78898,Wand-Lighting Charm,0
78898,Peskipiksi Pesternomi,0
78899,Incarcerous Spell,2
78910,Expulso Curse,1
78910,Episkey,1
78950,Stunning Spell,2
78957,Exploding Charm,3
78964,Wand-Lighting Charm,2
78964,General Counter-Spell,0
78969,Cistem Aperio,4
78969,Spider repelling spell,1
78969,Oculus Reparo,1
78970,Disarming Charm,3
78970,Salvio hexia,3
78970,Tickling Charm,5
78981,Unlocking Charm,4
78984,Reverse Spell,2
78984,Peskipiksi Pesternomi,0
79016,Oculus Reparo,1
79026,Lumos Maxima,1
79026,Disarming Charm,2
79053,Severing Charm,2
79053,Muggle-Repelling Charm,0
79053,Revelio Charm,0
79061,Blasting Curse,1
79061,Water-Making Spell,3
79118,Locomotion Charm,1
79118,Full Body-Bind Curse,5
79118,Incarcerous Spell,0
79119,Exploding Charm,3
79136,Revulsion Jinx,1
79136,Leg-Locker Curse,2
79137,Dissendium,0
79165,Protego totalum,0
79165,Sectumsempra,2
79165,Launch an object up into the air,5
79175,Piertotum Locomotor,3
79175,Boggart-Banishing Spell,3
79175,Spider repelling spell,0
79180,Muffliato Charm,3
79180,General Counter-Spell,5
79180,Water-Making Spell,2
79192,Shield Charm,3
79192,Revelio Charm,1
79192,Protego Maxima,3
79250,Cruciatus Curse,3
79250,Expulso Curse,1
79250,Vera Verto,3
79255,Killing Curse,2
79255,Wand-Lighting Charm,3
79261,Lumos Maxima,5
79270,Engorgement Charm,2
79282,Portus,5
79310,Levicorpus,2
79311,Locomotion Charm,3
79340,Incarcerous Spell,0
79345,Levicorpus,5
79345,Full Body-Bind Curse,1
79346,Summoning Charm,1
79346,Severing Charm,0
79370,Revulsion Jinx,4
79370,Summoning Charm,1
79372,Shrinking Charm,0
79372,Reverse Spell,4
79372,Lumos Maxima,4
79377,Muffliato Charm,4
79408,Sectumsempra,0
79408,Portus,1
79419,Slowing Charm,1
79446,Shrinking Charm,0
79446,General Counter-Spell,1
79446,Repello Inimicum,2
79464,Salvio hexia,2
79466,Repello Inimicum,3
79466,Slowing Charm,3
79466,Locomotion Charm,0
79497,Protego totalum,0
79497,Mending Charm,4
79497,Episkey,3
79508,Patronus Charm,3
79511,Snake-Vanishing Spell,2
79511,Cruciatus Curse,3
79511,Protego totalum,1
79515,Mending Charm,0
79515,Levicorpus,0
79515,Revulsion Jinx,3
79521,Snake-Vanishing Spell,2
79527,General Counter-Spell,3
79527,Lumos Maxima,0
79527,Exploding Charm,3
79540,Shrinking Charm,0
79540,Blasting Curse,0
79573,Exploding Charm,4
79573,Lumos Maxima,5
79573,Slowing Charm,2
79582,Reverse Spell,4
79582,Wand-Lighting Charm,3
79582,Human Presence Revealing Spell,1
79583,Cruciatus Curse,3
79583,Tickling Charm,5
79592,Fire-Making Spell,5
79592,Repello Inimicum,0
79592,Muggle-Repelling Charm,2
79656,Protego Maxima,3
79656,Impediment Jinx,2
79656,Disarming Charm,1
79671,Oppugno Jinx,2
79671,Fire-Making Spell,1
79671,Revulsion Jinx,1
79690,Full Body-Bind Curse,3
79692,Exploding Charm,1
79737,Full Body-Bind Curse,5
79792,Cistem Aperio,4
79792,Exploding Charm,0
79792,Locking Spell,3
79803,Expulso Curse,1
79806,Memory Charm,2
79806,Expulso Curse,2
79809,General Counter-Spell,4
79809,Sectumsempra,0
79809,Unlocking Charm,3
79813,Snake-Vanishing Spell,2
79813,Brackium Emendo,1
79820,Fire-Making Spell,1
79834,Leg-Locker Curse,2
79834,Piertotum Locomotor,0
79834,Muffliato Charm,0
79837,Peskipiksi Pesternomi,0
79853,Protego Maxima,2
79861,Muffliato Charm,2
79861,Oculus Reparo,1
79861,Sectumsempra,3
79865,Oculus Reparo,1
79865,Slowing Charm,4
79865,Memory Charm,2
79874,Expulso Curse,5
79874,Vera Verto,4
79874,Boggart-Banishing Spell,3
79928,General Counter-Spell,0
79931,Peskipiksi Pesternomi,2
79931,Cruciatus Curse,0
79931,Piertotum Locomotor,4
79932,Exploding Charm,1
79932,Snake Summons Spell,1
79932,Blasting Curse,2
79938,Fire-Making Spell,4
79954,Muffliato Charm,2
79957,Exploding Charm,2
79957,Severing Charm,5
79957,Human Presence Revealing Spell,5
79958,Water-Making Spell,1
79974,Dissendium,0
79976,Muggle-Repelling Charm,0
79976,Exploding Charm,5
79983,Muggle-Repelling Charm,4
79983,Salvio hexia,0
80002,Impediment Jinx,2
80002,Episkey,3
80002,Revulsion Jinx,2
80026,Shield Charm,1
80032,Spider repelling spell,3
80032,General Counter-Spell,5
80032,Freezing Charm,2
80035,Portus,3
80035,Protego Maxima,5
80056,Muffliato Charm,2
80056,Locomotion Charm,1
80056,Salvio hexia,3
80081,Protego Maxima,1
80081,Patronus Charm,3
80104,Freezing Charm,5
80104,Cruciatus Curse,2
80120,Impediment Jinx,0
80121,Piertotum Locomotor,5
80121,Muggle-Repelling Charm,3
80121,Brackium Emendo,0
80132,Impediment Jinx,4
80134,Reverse Spell,4
80134,Levitation Charm,3
80147,General Counter-Spell,5
80147,Wand-Lighting Charm,2
80147,Cistem Aperio,3
80158,Portus,0
80178,Tickling Charm,4
80178,Engorgement Charm,0
80200,Unlocking Charm,4
80200,Piertotum Locomotor,3
80219,Incarcerous Spell,4
80219,Disarming Charm,0
80220,Launch an object up into the air,2
80220,Expulso Curse,2
80221,Brackium Emendo,0
80221,Snake Summons Spell,5
80221,Incarcerous Spell,2
80226,Levitation Charm,0
80232,Shield Charm,0
80240,Expulso Curse,0
80240,Shield Charm,0
80240,Oppugno Jinx,2
80258,Full Body-Bind Curse,5
80266,Revelio Charm,5
80266,Lumos Maxima,2
80276,Stunning Spell,2
80276,Blasting Curse,5
80276,Dissendium,4
80287,Lumos Solem Spell,3
80311,Killing Curse,4
80311,Oculus Reparo,4
80311,Levitation Charm,2
80361,Blasting Curse,3
80361,Muffliato Charm,0
80394,Portus,1
80394,Muggle-Repelling Charm,1
80402,Memory Charm,3
80403,Muffliato Charm,5
80412,Incarcerous Spell,4
80412,Water-Making Spell,1
80419,Summoning Charm,2
80419,Mending Charm,2
80428,Fire-Making Spell,4
80428,Full Body-Bind Curse,0
80489,Fire-Making Spell,2
80489,Dissendium,4
80489,Locomotion Charm,2
80501,Shield Charm,2
80501,Protego totalum,4
80511,Human Presence Revealing Spell,4
80522,Portus,4
80522,Slowing Charm,1
80522,Tickling Charm,4
80529,Expulso Curse,5
80547,Patronus Charm,4
80547,Salvio hexia,4
80551,Severing Charm,3
80551,Muffliato Charm,1
80551,Mending Charm,4
80553,Muggle-Repelling Charm,3
80570,Water-Making Spell,4
80570,Wand-Extinguishing Charm,4
80584,Spider repelling spell,3
80584,Water-Making Spell,1
80584,Muggle-Repelling Charm,1
80585,Impediment Jinx,4
80585,Sectumsempra,2
80589,Freezing Charm,3
80589,Spider repelling spell,1
80589,Peskipiksi Pesternomi,3
80590,Shrinking Charm,1
80590,Killing Curse,4
80590,Severing Charm,4
80613,Shrinking Charm,4
80622,Expulso Curse,3
