ВОИН_ИД,ЗАКЛИНАНИЕ_НАЗВАНИЕ
79431,Cistem Aperio
79431,Killing Curse
79441,Revelio Charm
79456,Levicorpus
79456,Oppugno Jinx
79456,Incarcerous Spell
79458,Mending Charm
79462,Shield Charm
79465,Levitation Charm
79466,Incarcerous Spell
79466,Disarming Charm
79481,Imperius Curse
79504,Fire-Making Spell
79504,Levicorpus
79504,Water-Making Spell
79505,Episkey
79510,Levitation Charm
79530,Unlocking Charm
79530,Salvio hexia
79536,Portus
79537,Spider repelling spell
79537,Freezing Charm
79540,Imperius Curse
79545,Revulsion Jinx
79545,Unlocking Charm
79545,Engorgement Charm
79551,Locking Spell
79551,Locomotion Charm
79557,Snake-Vanishing Spell
79558,Expulso Curse
79567,Full Body-Bind Curse
79576,Vera Verto
79582,Levicorpus
79582,Stunning Spell
79582,Snake Summons Spell
79585,Expulso Curse
79585,Killing Curse
79591,Wand-Lighting Charm
79592,Piertotum Locomotor
79593,Leg-Locker Curse
79593,Slowing Charm
79593,Levicorpus
79597,Fire-Making Spell
79597,Stunning Spell
79597,Mending Charm
79602,Freezing Charm
79609,Brackium Emendo
79609,Exploding Charm
79622,Blasting Curse
79622,Incarcerous Spell
79622,Protego Maxima
79624,Impediment Jinx
79624,Episkey
79624,Levicorpus
79638,Peskipiksi Pesternomi
79655,Lumos Maxima
79655,Shield Charm
79655,Locking Spell
79658,Episkey
79658,Disarming Charm
79663,Blasting Curse
79663,Dissendium
79673,Boggart-Banishing Spell
79681,Episkey
79692,Dissendium
79698,Spider repelling spell
79700,Protego Maxima
79700,Shrinking Charm
79700,Spider repelling spell
79706,Snake Summons Spell
79719,Boggart-Banishing Spell
79719,Exploding Charm
79727,Engorgement Charm
79727,Locomotion Charm
79727,Levitation Charm
79730,Snake-Vanishing Spell
79730,Oculus Reparo
79730,Freezing Charm
79733,Memory Charm
79733,Mending Charm
79738,Freezing Charm
79741,Piertotum Locomotor
79744,Cruciatus Curse
79744,Vera Verto
79744,Peskipiksi Pesternomi
79764,Imperius Curse
79770,Launch an object up into the air
79770,Wand-Extinguishing Charm
79770,Wand-Lighting Charm
79789,Mending Charm
79789,Unlocking Charm
79790,Muggle-Repelling Charm
79790,Freezing Charm
79790,Imperius Curse
79792,Peskipiksi Pesternomi
79792,Spider repelling spell
79792,General Counter-Spell
79799,Launch an object up into the air
79799,Snake-Vanishing Spell
79799,Oppugno Jinx
79817,Leg-Locker Curse
79817,Salvio hexia
79834,Vera Verto
79834,Mending Charm
79841,Locking Spell
79845,Dissendium
79845,Memory Charm
79845,Vera Verto
79856,Locomotion Charm
79856,Oculus Reparo
79859,Salvio hexia
79859,Expulso Curse
79866,Mending Charm
79874,Spider repelling spell
79874,Mending Charm
79878,Stunning Spell
79897,Wand-Extinguishing Charm
79898,Shrinking Charm
79898,Levicorpus
79898,Oculus Reparo
79899,Levicorpus
79902,Stunning Spell
79918,Oppugno Jinx
79918,Unlocking Charm
79918,Locking Spell
79920,Brackium Emendo
79920,Mending Charm
79920,Sectumsempra
79923,Repello Inimicum
79923,Slowing Charm
79929,Repello Inimicum
79929,Peskipiksi Pesternomi
79929,Portus
79934,Wand-Extinguishing Charm
79934,Muffliato Charm
79934,Exploding Charm
79935,Engorgement Charm
79938,Impediment Jinx
79938,Cruciatus Curse
79938,Wand-Lighting Charm
79968,Boggart-Banishing Spell
79969,Killing Curse
79969,Exploding Charm
79969,Patronus Charm
79980,Reverse Spell
79980,Imperius Curse
79980,Shrinking Charm
80000,Vera Verto
80000,Episkey
80001,Disarming Charm
80012,Tickling Charm
80012,Water-Making Spell
80012,Expulso Curse
80029,Patronus Charm
80029,Revelio Charm
80034,Episkey
80034,Unlocking Charm
80036,Reverse Spell
80038,Blasting Curse
80038,Killing Curse
80040,Snake-Vanishing Spell
80040,Unlocking Charm
80043,Leg-Locker Curse
80043,Summoning Charm
80043,Muggle-Repelling Charm
80046,Exploding Charm
80053,Levitation Charm
80053,Exploding Charm
80062,Impediment Jinx
80062,Locking Spell
80062,Tickling Charm
80064,Killing Curse
80064,Wand-Lighting Charm
80064,Engorgement Charm
80069,Brackium Emendo
80069,Human Presence Revealing Spell
80073,Imperius Curse
80073,Patronus Charm
80073,Slowing Charm
80083,Brackium Emendo
80097,Peskipiksi Pesternomi
80097,Wand-Extinguishing Charm
80102,Muffliato Charm
80102,Protego Maxima
80102,Imperius Curse
80111,Boggart-Banishing Spell
80111,Expulso Curse
80120,Disarming Charm
80120,Revelio Charm
80120,Protego Maxima
80125,Salvio hexia
80125,Protego totalum
80125,Snake-Vanishing Spell
80132,Killing Curse
80132,Muggle-Repelling Charm
80138,Reverse Spell
80138,Slowing Charm
80138,Dissendium
80139,Reverse Spell
80139,Revulsion Jinx
80141,Portus
80141,Lumos Maxima
80142,Launch an object up into the air
80148,Dissendium
80148,Water-Making Spell
80153,Fire-Making Spell
80159,Freezing Charm
80159,Revelio Charm
80161,Cruciatus Curse
80161,Exploding Charm
80161,Human Presence Revealing Spell
80164,Imperius Curse
80171,Slowing Charm
80173,Unlocking Charm
80173,Levitation Charm
80173,Snake Summons Spell
80181,Sectumsempra
80181,Severing Charm
80184,Impediment Jinx
80184,Shield Charm
80184,Salvio hexia
80189,Unlocking Charm
80189,Cruciatus Curse
80194,Unlocking Charm
80213,Launch an object up into the air
80213,Incarcerous Spell
80216,Levitation Charm
80218,Oculus Reparo
80218,Leg-Locker Curse
80218,Vera Verto
80232,Spider repelling spell
80232,Patronus Charm
80232,Shrinking Charm
80233,Muggle-Repelling Charm
80233,Freezing Charm
80233,Locking Spell
80240,Vera Verto
80242,Brackium Emendo
80242,Incarcerous Spell
80242,Imperius Curse
80243,Cistem Aperio
80243,Patronus Charm
80248,Dissendium
80248,Piertotum Locomotor
80250,Shield Charm
80250,Wand-Lighting Charm
80262,Disarming Charm
80262,Water-Making Spell
80272,Killing Curse
80272,Portus
80276,Muffliato Charm
80287,Engorgement Charm
80287,Protego totalum
80292,Unlocking Charm
80292,Boggart-Banishing Spell
80292,Wand-Extinguishing Charm
80317,Protego Maxima
80317,Slowing Charm
80317,Levitation Charm
80319,Wand-Lighting Charm
80319,Summoning Charm
80319,Episkey
80326,Muffliato Charm
80326,Launch an object up into the air
80326,Salvio hexia
80331,Wand-Lighting Charm
80331,Stunning Spell
80332,Snake-Vanishing Spell
80332,Mending Charm
80332,Oculus Reparo
80341,Revulsion Jinx
80341,Sectumsempra
80341,Protego totalum
80345,Locking Spell
80350,Tickling Charm
80350,Summoning Charm
80350,Exploding Charm
80352,Mending Charm
80352,Sectumsempra
80365,Slowing Charm
80365,Snake Summons Spell
80368,Exploding Charm
80368,Tickling Charm
80372,Engorgement Charm
80385,Summoning Charm
80385,Freezing Charm
80385,Piertotum Locomotor
80391,Protego Maxima
80391,Mending Charm
80396,Levicorpus
80396,Full Body-Bind Curse
80396,Reverse Spell
80407,Peskipiksi Pesternomi
80407,Protego totalum
80409,Killing Curse
80409,Wand-Lighting Charm
80413,Exploding Charm
80413,Expulso Curse
80419,Lumos Maxima
80419,Severing Charm
80419,Spider repelling spell
80440,Leg-Locker Curse
80440,Protego totalum
80446,Expulso Curse
80475,Shrinking Charm
80475,Incarcerous Spell
80479,Vera Verto
80479,Episkey
80501,Human Presence Revealing Spell
80501,Killing Curse
80503,Portus
80503,Vera Verto
80503,Reverse Spell
80512,Incarcerous Spell
80516,Dissendium
80516,Snake Summons Spell
80516,Patronus Charm
80520,Expulso Curse
80520,Cistem Aperio
80520,Oppugno Jinx
80537,Mending Charm
80537,Severing Charm
80539,Repello Inimicum
80539,Impediment Jinx
80539,Revulsion Jinx
80540,Oppugno Jinx
80540,Wand-Lighting Charm
80540,Boggart-Banishing Spell
80544,Shrinking Charm
80544,Salvio hexia
80546,Blasting Curse
80557,Oculus Reparo
80560,Episkey
80560,Incarcerous Spell
80569,Freezing Charm
80569,Summoning Charm
80569,Levicorpus
80576,Levicorpus
80603,Impediment Jinx
80603,Freezing Charm
80603,Protego totalum
80604,Vera Verto
80604,Sectumsempra
80617,Expulso Curse
80617,Disarming Charm
80621,Protego totalum
80638,Dissendium
80638,Lumos Maxima
80654,Shield Charm
80658,Wand-Lighting Charm
80664,Episkey
80664,Incarcerous Spell
80680,Oppugno Jinx
80680,Fire-Making Spell
80685,Snake Summons Spell
80685,Repello Inimicum
80685,Revulsion Jinx
80689,Revelio Charm
80689,Full Body-Bind Curse
80705,Peskipiksi Pesternomi
80713,Dissendium
80718,Revelio Charm
80718,Cruciatus Curse
80719,Slowing Charm
80734,Engorgement Charm
80734,Lumos Solem Spell
80734,Locomotion Charm
80751,Full Body-Bind Curse
80753,Shrinking Charm
80755,Expulso Curse
80755,Revelio Charm
80755,Water-Making Spell
80758,Levitation Charm
80758,Leg-Locker Curse
80758,Shield Charm
80770,Piertotum Locomotor
80770,Shield Charm
80770,Oppugno Jinx
80771,Mending Charm
80780,Revelio Charm
80780,Sectumsempra
80800,Locomotion Charm
80802,Cistem Aperio
80802,Exploding Charm
80804,Exploding Charm
80806,Incarcerous Spell
80806,Shield Charm
80817,Expulso Curse
80820,Peskipiksi Pesternomi
80833,Exploding Charm
80833,Portus
80836,Severing Charm
80852,Disarming Charm
80852,Launch an object up into the air
80852,Repello Inimicum
80862,Snake-Vanishing Spell
80862,Brackium Emendo
80862,Mending Charm
80867,Wand-Lighting Charm
80867,Unlocking Charm
80867,Cistem Aperio
80868,Dissendium
80868,Muggle-Repelling Charm
80868,Repello Inimicum
80870,Oppugno Jinx
80870,Protego Maxima
80872,Severing Charm
80873,Impediment Jinx
80875,Full Body-Bind Curse
80875,Launch an object up into the air
80876,Brackium Emendo
80876,Revelio Charm
80877,Severing Charm
80877,Salvio hexia
80881,Leg-Locker Curse
80881,Cruciatus Curse
80881,Oculus Reparo
80894,Full Body-Bind Curse
80895,Patronus Charm
80895,Summoning Charm
80897,Shield Charm
80897,Revelio Charm
80897,Mending Charm
80905,Repello Inimicum
80917,Expulso Curse
80929,Freezing Charm
80929,Cistem Aperio
80929,Locking Spell
80930,Revelio Charm
80943,Wand-Extinguishing Charm
80944,Expulso Curse
80944,Levitation Charm
80951,Peskipiksi Pesternomi
80955,Memory Charm
80955,Salvio hexia
80977,Summoning Charm
80979,Wand-Lighting Charm
80979,Blasting Curse
80979,Full Body-Bind Curse
80984,Repello Inimicum
80984,Slowing Charm
80985,Piertotum Locomotor
80985,Lumos Solem Spell
80985,Oculus Reparo
80987,Piertotum Locomotor
80987,Boggart-Banishing Spell
80987,Oppugno Jinx
80997,Exploding Charm
81003,Engorgement Charm
81003,Cistem Aperio
81004,Locking Spell
81004,Protego Maxima
81006,Snake-Vanishing Spell
81015,Dissendium
81016,Protego totalum
81016,Water-Making Spell
81020,Revulsion Jinx
81020,Levicorpus
81022,Exploding Charm
81022,Memory Charm
81022,Summoning Charm
81036,Slowing Charm
81051,Freezing Charm
81052,Unlocking Charm
81052,Oculus Reparo
81056,Shield Charm
81056,Cistem Aperio
81061,Killing Curse
81062,Slowing Charm
81062,Portus
81062,Impediment Jinx
81066,Levicorpus
81100,Wand-Lighting Charm
81100,Cistem Aperio
81114,Oppugno Jinx
81114,Exploding Charm
81116,Impediment Jinx
81121,Muggle-Repelling Charm
81126,Exploding Charm
81126,Boggart-Banishing Spell
81126,Shield Charm
81130,Lumos Maxima
81130,Episkey
81130,Muffliato Charm
81134,Expulso Curse
81158,Fire-Making Spell
81158,Imperius Curse
81158,Brackium Emendo
81166,Protego Maxima
81166,Cruciatus Curse
81166,Shrinking Charm
81170,Killing Curse
81170,Water-Making Spell
81175,Lumos Maxima
81177,Protego Maxima
81188,Portus
81188,Muffliato Charm
81188,Blasting Curse
81206,Disarming Charm
81206,Piertotum Locomotor
81214,Blasting Curse
81218,Stunning Spell
81218,Human Presence Revealing Spell
81218,Mending Charm
81219,Memory Charm
81226,Severing Charm
81237,Human Presence Revealing Spell
81237,Piertotum Locomotor
81239,Repello Inimicum
81239,Portus
81239,Human Presence Revealing Spell
81241,Protego totalum
81241,Imperius Curse
81256,Levitation Charm
81256,Episkey
81256,Shrinking Charm
81262,Oppugno Jinx
81262,Reverse Spell
81262,Muffliato Charm
81264,Repello Inimicum
81270,Sectumsempra
81275,Dissendium
81275,Patronus Charm
81283,Muggle-Repelling Charm
81283,Imperius Curse
81283,Engorgement Charm
81293,Cruciatus Curse
81293,Launch an object up into the air
81297,Killing Curse
81309,Portus
81309,Slowing Charm
81310,Water-Making Spell
81314,Protego Maxima
81314,Full Body-Bind Curse
81334,Shield Charm
81335,Lumos Solem Spell
81335,Locomotion Charm
81341,Disarming Charm
81341,Muggle-Repelling Charm
81341,Oppugno Jinx
81352,Muffliato Charm
81352,Expulso Curse
81362,Revelio Charm
81362,Shrinking Charm
81362,Unlocking Charm
81368,Wand-Lighting Charm
81368,Peskipiksi Pesternomi
81384,Slowing Charm
81384,Shrinking Charm
81384,Wand-Extinguishing Charm
81395,Blasting Curse
81395,Revulsion Jinx
81399,Locomotion Charm
81399,Summoning Charm
81399,Repello Inimicum
81407,Unlocking Charm
81407,Sectumsempra
81407,Portus
81427,Memory Charm
81427,Engorgement Charm
81427,Levicorpus
81430,Wand-Extinguishing Charm
81433,Shrinking Charm
81434,Imperius Curse
81438,Unlocking Charm
81438,Lumos Maxima
81438,Lumos Solem Spell
81446,Levitation Charm
81446,Full Body-Bind Curse
81446,Revelio Charm
81452,Cruciatus Curse
81452,Incarcerous Spell
81454,Cistem Aperio
81454,Portus
81456,General Counter-Spell
81456,Incarcerous Spell
81456,Salvio hexia
81464,Impediment Jinx
81464,Dissendium
81465,Expulso Curse
81465,Cistem Aperio
81480,Human Presence Revealing Spell
81497,Summoning Charm
81499,Protego totalum
81499,Severing Charm
81502,Full Body-Bind Curse
81502,Killing Curse
81502,Wand-Lighting Charm
81505,Freezing Charm
81505,Repello Inimicum
81506,Vera Verto
81506,Revulsion Jinx
81506,Wand-Lighting Charm
81521,Portus
81532,Tickling Charm
81532,Impediment Jinx
81535,General Counter-Spell
81541,Water-Making Spell
81541,Freezing Charm
81545,Leg-Locker Curse
81545,Protego totalum
81545,Repello Inimicum
81549,Levicorpus
81549,Summoning Charm
81554,Freezing Charm
81554,Cistem Aperio
81579,General Counter-Spell
81582,Shield Charm
81587,Peskipiksi Pesternomi
81597,Brackium Emendo
81597,Wand-Lighting Charm
81600,Wand-Extinguishing Charm
81600,Levicorpus
81600,Sectumsempra
81605,Killing Curse
81605,Imperius Curse
81608,Imperius Curse
81629,Fire-Making Spell
81629,Repello Inimicum
81629,Oculus Reparo
81631,Brackium Emendo
81654,Imperius Curse
81660,Vera Verto
81660,Shrinking Charm
81663,Incarcerous Spell
81663,Snake-Vanishing Spell
81664,Revulsion Jinx
81664,Salvio hexia
81664,Mending Charm
81674,Snake Summons Spell
81674,Memory Charm
81685,Peskipiksi Pesternomi
81685,Water-Making Spell
81691,Wand-Lighting Charm
81691,Slowing Charm
81705,Launch an object up into the air
81705,Fire-Making Spell
81705,Muggle-Repelling Charm
81710,Imperius Curse
81710,Revulsion Jinx
81717,Killing Curse
81717,Lumos Maxima
81719,Peskipiksi Pesternomi
81745,Oculus Reparo
81745,Piertotum Locomotor
81745,Memory Charm
81751,Unlocking Charm
81751,Oppugno Jinx
81752,Freezing Charm
81753,Freezing Charm
81753,Impediment Jinx
81759,Water-Making Spell
81759,Vera Verto
81759,Brackium Emendo
81770,Revulsion Jinx
81770,Oppugno Jinx
81770,Reverse Spell
81777,Levitation Charm
81780,Snake-Vanishing Spell
81780,Severing Charm
81780,Tickling Charm
81794,Peskipiksi Pesternomi
81794,Shrinking Charm
81794,Vera Verto
81803,Human Presence Revealing Spell
81807,Locomotion Charm
81819,Summoning Charm
81820,Protego totalum
81832,Expulso Curse
81832,Peskipiksi Pesternomi
81832,Shrinking Charm
81836,Incarcerous Spell
81838,Levitation Charm
81842,Patronus Charm
81846,Revelio Charm
81846,Brackium Emendo
81850,Snake Summons Spell
81850,Cistem Aperio
81858,Water-Making Spell
81858,General Counter-Spell
81858,Engorgement Charm
81860,Oppugno Jinx
81862,Snake Summons Spell
81875,Expulso Curse
81875,Vera Verto
81875,Stunning Spell
81881,Portus
81881,Spider repelling spell
81881,Patronus Charm
81882,Peskipiksi Pesternomi
81882,Dissendium
81882,Piertotum Locomotor
81887,Locking Spell
81888,Muffliato Charm
81888,General Counter-Spell
81888,Levicorpus
81903,Disarming Charm
81912,Portus
81912,Leg-Locker Curse
81912,Wand-Extinguishing Charm
81914,General Counter-Spell
81914,Mending Charm
81914,Portus
81922,Oppugno Jinx
81922,Cruciatus Curse
81924,Spider repelling spell
81924,Snake-Vanishing Spell
81926,Muggle-Repelling Charm
81926,Muffliato Charm
81926,Disarming Charm
81933,Sectumsempra
81933,Cruciatus Curse
81933,Human Presence Revealing Spell
81950,Piertotum Locomotor
81950,Imperius Curse
81951,Protego totalum
81951,Shrinking Charm
81957,Lumos Maxima
81957,Repello Inimicum
81957,Salvio hexia
81963,Human Presence Revealing Spell
81967,Patronus Charm
81967,Wand-Lighting Charm
81967,Imperius Curse
81973,Launch an object up into the air
81973,Disarming Charm
81987,Killing Curse
81987,Brackium Emendo
81987,Freezing Charm
82001,Piertotum Locomotor
82001,Wand-Extinguishing Charm
82016,Snake Summons Spell
82016,Slowing Charm
82017,Cruciatus Curse
82025,Water-Making Spell
82032,Oppugno Jinx
82032,Leg-Locker Curse
82032,Brackium Emendo
82047,Muffliato Charm
82047,Incarcerous Spell
82058,Water-Making Spell
82069,Episkey
82069,Muggle-Repelling Charm
82069,Mending Charm
82072,Spider repelling spell
82072,Stunning Spell
82072,Snake Summons Spell
82075,Levitation Charm
82075,Wand-Extinguishing Charm
82075,Water-Making Spell
82084,Imperius Curse
82084,Levitation Charm
82090,General Counter-Spell
82090,Snake Summons Spell
82105,Locomotion Charm
82105,Piertotum Locomotor
82105,Full Body-Bind Curse
82106,Blasting Curse
82106,Revulsion Jinx
82114,Expulso Curse
82114,Salvio hexia
82114,Peskipiksi Pesternomi
82117,Human Presence Revealing Spell
82117,Piertotum Locomotor
82117,Patronus Charm
82128,Boggart-Banishing Spell
82128,Vera Verto
82128,Episkey
82130,Fire-Making Spell
82134,Human Presence Revealing Spell
82134,Full Body-Bind Curse
82134,Memory Charm
82152,Revulsion Jinx
82155,Sectumsempra
82155,Peskipiksi Pesternomi
82155,Mending Charm
82160,Oppugno Jinx
82160,Tickling Charm
82160,Wand-Extinguishing Charm
82161,Full Body-Bind Curse
82161,Imperius Curse
82161,Expulso Curse
82166,Cruciatus Curse
82166,Levitation Charm
82166,Impediment Jinx
82179,Salvio hexia
82179,Shield Charm
82181,Muffliato Charm
82183,Revelio Charm
82183,Launch an object up into the air
82184,Cruciatus Curse
82184,Blasting Curse
82184,Shrinking Charm
82186,Locking Spell
82186,Full Body-Bind Curse
82187,Freezing Charm
82187,Repello Inimicum
82187,Portus
82196,Peskipiksi Pesternomi
82196,Muggle-Repelling Charm
82210,Impediment Jinx
82210,Severing Charm
82212,General Counter-Spell
82248,Mending Charm
82248,Snake Summons Spell
82254,Slowing Charm
82258,Salvio hexia
82265,Summoning Charm
82265,Boggart-Banishing Spell
82265,Levicorpus
82272,Stunning Spell
82272,Oculus Reparo
82272,Exploding Charm
82278,Launch an object up into the air
82279,Reverse Spell
82279,Human Presence Revealing Spell
82298,Snake-Vanishing Spell
82298,Protego Maxima
82337,Locking Spell
82337,Reverse Spell
82347,Full Body-Bind Curse
82347,Protego Maxima
82347,Oculus Reparo
82351,Expulso Curse
82351,General Counter-Spell
82351,Revulsion Jinx
82362,Piertotum Locomotor
82362,Severing Charm
82362,Cistem Aperio
82365,Summoning Charm
82381,Sectumsempra
82381,Snake Summons Spell
82381,Stunning Spell
82390,Leg-Locker Curse
82390,Impediment Jinx
82390,Patronus Charm
82395,Revelio Charm
82425,Exploding Charm
82425,Oppugno Jinx
82425,Engorgement Charm
82426,Expulso Curse
82434,Wand-Extinguishing Charm
82436,Imperius Curse
82436,Launch an object up into the air
82436,Severing Charm
82453,Disarming Charm
82466,Sectumsempra
82466,Expulso Curse
82467,Oppugno Jinx
82469,Spider repelling spell
82469,Cruciatus Curse
82475,Dissendium
82483,Human Presence Revealing Spell
82483,Levitation Charm
82498,Blasting Curse
82504,Boggart-Banishing Spell
82504,Cistem Aperio
82509,Repello Inimicum
82509,Freezing Charm
82509,Revelio Charm
82516,Impediment Jinx
82516,Disarming Charm
82519,Launch an object up into the air
82519,Snake Summons Spell
82519,Cistem Aperio
82531,Imperius Curse
82531,Unlocking Charm
82531,Spider repelling spell
82548,Cruciatus Curse
82548,Shield Charm
82548,Impediment Jinx
82575,Cistem Aperio
82575,Snake-Vanishing Spell
82575,Launch an object up into the air
82600,Full Body-Bind Curse
82600,Wand-Extinguishing Charm
82601,Revelio Charm
82606,Snake Summons Spell
82612,Muggle-Repelling Charm
82617,Killing Curse
82617,Portus
82617,Full Body-Bind Curse
82622,Severing Charm
82629,Brackium Emendo
82629,Water-Making Spell
82632,Unlocking Charm
82646,Disarming Charm
82646,Snake-Vanishing Spell
82657,Tickling Charm
82683,Blasting Curse
82684,Piertotum Locomotor
82684,Vera Verto
82684,Wand-Lighting Charm
82693,Disarming Charm
82693,Severing Charm
82693,Mending Charm
82702,Slowing Charm
82702,Locking Spell
82702,Patronus Charm
82703,Vera Verto
82703,Snake Summons Spell
82705,Stunning Spell
82705,Exploding Charm
82707,Episkey
82707,Engorgement Charm
82709,Expulso Curse
82710,Summoning Charm
82720,Summoning Charm
82723,Impediment Jinx
82723,Portus
82734,Engorgement Charm
82744,Locking Spell
82769,Repello Inimicum
82769,Wand-Extinguishing Charm
82770,Sectumsempra
82783,Dissendium
82793,Imperius Curse
82793,Shield Charm
82793,Sectumsempra
82802,Leg-Locker Curse
82802,Snake-Vanishing Spell
82813,Sectumsempra
82813,Episkey
82829,Snake Summons Spell
82830,Leg-Locker Curse
82830,Severing Charm
82835,Memory Charm
82836,General Counter-Spell
82836,Muggle-Repelling Charm
82839,Cruciatus Curse
82841,Protego totalum
82841,Shrinking Charm
82841,Oppugno Jinx
82852,Reverse Spell
82852,Wand-Extinguishing Charm
82856,Memory Charm
82856,Revelio Charm
82868,Water-Making Spell
82875,Protego totalum
82875,Lumos Solem Spell
82891,Cruciatus Curse
82891,Incarcerous Spell
82891,Engorgement Charm
82914,Wand-Lighting Charm
82914,Protego totalum
82914,Unlocking Charm
82926,Cruciatus Curse
82942,Water-Making Spell
82942,Snake Summons Spell
82943,Oculus Reparo
82946,Mending Charm
82946,Brackium Emendo
82949,Severing Charm
82949,Cruciatus Curse
82950,Stunning Spell
82951,Revulsion Jinx
82967,Muffliato Charm
82969,Shield Charm
82969,Oppugno Jinx
82969,Tickling Charm
82981,Patronus Charm
82981,Protego Maxima
82981,Muggle-Repelling Charm
82988,Sectumsempra
82988,Oppugno Jinx
82999,Cistem Aperio
82999,Protego Maxima
82999,Stunning Spell
83002,Memory Charm
83002,Mending Charm
83002,Cistem Aperio
83004,Leg-Locker Curse
83004,Episkey
83017,Exploding Charm
83017,Shrinking Charm
83020,Revulsion Jinx
83020,Summoning Charm
83028,Muggle-Repelling Charm
83031,Expulso Curse
83031,Stunning Spell
83032,Episkey
83036,Freezing Charm
83036,Snake Summons Spell
83042,Brackium Emendo
83042,Slowing Charm
83042,Lumos Maxima
83044,Sectumsempra
83044,Engorgement Charm
83044,Fire-Making Spell
83088,Reverse Spell
83088,Impediment Jinx
83088,Locking Spell
83104,Repello Inimicum
83114,Spider repelling spell
83116,Vera Verto
83126,Dissendium
83126,Boggart-Banishing Spell
83128,Mending Charm
83139,Wand-Lighting Charm
83147,Launch an object up into the air
83147,Water-Making Spell
83149,Unlocking Charm
83164,Revulsion Jinx
83164,Locomotion Charm
83164,Protego totalum
83169,Water-Making Spell
83170,Impediment Jinx
83170,Vera Verto
83172,Portus
83172,Full Body-Bind Curse
83214,General Counter-Spell
83214,Piertotum Locomotor
83216,Locomotion Charm
83223,Slowing Charm
83223,Freezing Charm
83223,Cistem Aperio
83230,Killing Curse
83230,Wand-Lighting Charm
83260,Lumos Maxima
83263,Severing Charm
83263,Brackium Emendo
83292,Dissendium
83292,Snake-Vanishing Spell
83292,Blasting Curse
83296,Locomotion Charm
83296,Lumos Solem Spell
83303,Severing Charm
83304,Episkey
83304,Memory Charm
83304,Killing Curse
83314,Launch an object up into the air
83314,Piertotum Locomotor
83328,Muffliato Charm
83328,Boggart-Banishing Spell
83333,Shrinking Charm
83333,Spider repelling spell
83335,Locking Spell
83338,Slowing Charm
83338,Imperius Curse
83342,Shield Charm
83344,Repello Inimicum
83361,Tickling Charm
83367,Fire-Making Spell
83368,Exploding Charm
83368,Killing Curse
83368,Lumos Maxima
83388,Levitation Charm
83392,Salvio hexia
83392,Fire-Making Spell
83395,Spider repelling spell
83395,Human Presence Revealing Spell
83401,Boggart-Banishing Spell
83401,Brackium Emendo
83401,Imperius Curse
83413,Boggart-Banishing Spell
83413,Full Body-Bind Curse
83413,Patronus Charm
83416,Vera Verto
83416,Leg-Locker Curse
83416,Muffliato Charm
83442,Protego Maxima
83444,Levicorpus
83444,Summoning Charm
83444,Shrinking Charm
83451,Cistem Aperio
83451,Slowing Charm
83454,Brackium Emendo
83454,Reverse Spell
83454,Lumos Maxima
83459,Revelio Charm
83466,Lumos Solem Spell
83467,Severing Charm
83467,Engorgement Charm
83467,Freezing Charm
83472,Snake Summons Spell
83472,Revulsion Jinx
83483,Water-Making Spell
83483,Killing Curse
83487,Exploding Charm
83487,Stunning Spell
83487,Oppugno Jinx
83491,Cruciatus Curse
83491,Severing Charm
83491,Oppugno Jinx
83497,Killing Curse
83497,Reverse Spell
83505,Shield Charm
83505,Episkey
83513,Mending Charm
83515,Lumos Maxima
83515,Water-Making Spell
83522,Leg-Locker Curse
83524,Spider repelling spell
83535,Lumos Maxima
83535,Launch an object up into the air
83535,Oppugno Jinx
83545,Boggart-Banishing Spell
83545,Salvio hexia
83545,Engorgement Charm
83546,Launch an object up into the air
83548,Oculus Reparo
83576,Wand-Lighting Charm
83577,Protego Maxima
83577,Revelio Charm
83577,Salvio hexia
83583,Mending Charm
83583,Blasting Curse
83583,Water-Making Spell
83586,Lumos Maxima
83589,Summoning Charm
83589,Launch an object up into the air
83606,Vera Verto
83606,Imperius Curse
83617,Severing Charm
83617,Water-Making Spell
83633,Patronus Charm
83633,Wand-Extinguishing Charm
83633,Water-Making Spell
83636,Full Body-Bind Curse
83636,Wand-Lighting Charm
83636,Sectumsempra
83637,Freezing Charm
83637,Impediment Jinx
83637,Summoning Charm
83639,Snake-Vanishing Spell
83673,Protego Maxima
83678,Levitation Charm
83689,Impediment Jinx
83689,Oculus Reparo
83689,Full Body-Bind Curse
83693,Killing Curse
83700,Lumos Maxima
83701,Lumos Solem Spell
83710,Episkey
83710,Unlocking Charm
83712,Slowing Charm
83712,Cistem Aperio
83712,Muggle-Repelling Charm
83713,Wand-Extinguishing Charm
83713,Leg-Locker Curse
83723,Expulso Curse
83726,Slowing Charm
83726,Fire-Making Spell
83726,Expulso Curse
83734,Snake Summons Spell
83734,Unlocking Charm
83739,Leg-Locker Curse
83748,Cruciatus Curse
83750,General Counter-Spell
83750,Lumos Solem Spell
83750,Portus
83753,Wand-Extinguishing Charm
83753,Killing Curse
83753,Repello Inimicum
83754,Wand-Lighting Charm
83754,Full Body-Bind Curse
83754,Imperius Curse
83759,Snake-Vanishing Spell
83759,Stunning Spell
83762,Human Presence Revealing Spell
83766,Levitation Charm
83766,Salvio hexia
83785,Incarcerous Spell
83785,Summoning Charm
83785,Peskipiksi Pesternomi
83786,Severing Charm
83786,Expulso Curse
83786,Engorgement Charm
83789,Blasting Curse
83789,Snake Summons Spell
